,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,15747757.0,1.0,35.0,3.375,2.0,8.0,8.0,8.29,0.0,0.0,0.0,1.0,2.0,0.0,1.0
1,15716347.0,1.0,35.17,4.5,2.0,14.000000000000002,8.0,5.75,0.0,0.0,0.0,1.0,1.0,711.0,1.0
2,15726466.0,1.0,17.42,6.5,2.0,3.0,4.0,0.125,0.0,0.0,0.0,0.0,2.0,60.0,101.0
3,15692408.0,1.0,48.08,6.04,2.0,4.0,4.0,0.04,0.0,0.0,0.0,0.0,2.0,0.0,2691.0
4,15694530.0,1.0,41.17,1.335,2.0,2.0,4.0,0.165,0.0,0.0,0.0,0.0,2.0,168.0,1.0
5,15605791.0,1.0,19.5,9.585,2.0,6.0,4.0,0.79,0.0,0.0,0.0,0.0,2.0,80.0,351.0
6,15737627.0,1.0,16.17,0.04,2.0,8.0,4.0,0.04,0.0,0.0,0.0,0.0,2.0,0.0,1.0
7,15709459.0,1.0,29.42,1.25,2.0,9.0,4.0,1.75,0.0,0.0,0.0,0.0,2.0,200.0,1.0
8,15752139.0,1.0,36.50000000000001,4.25,2.0,11.0,4.0,3.5,0.0,0.0,0.0,0.0,2.0,454.0,51.0
9,15766906.0,1.0,29.83,3.5,2.0,8.0,4.0,0.165,0.0,0.0,0.0,0.0,2.0,216.0,1.0
10,15667451.0,1.0,39.92,5.0,2.0,3.0,5.0,0.21,0.0,0.0,0.0,0.0,2.0,550.0,1.0
11,15571415.0,1.0,37.58,0.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,184.0,1.0
12,15600975.0,1.0,22.17,0.585,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,1.0
13,15565714.0,1.0,42.75,4.085,2.0,6.0,4.0,0.04,0.0,0.0,0.0,0.0,2.0,108.0,101.0
14,15763108.0,1.0,28.67,14.499999999999998,2.0,2.0,4.0,0.125,0.0,0.0,0.0,0.0,2.0,0.0,287.0
15,15655464.0,1.0,21.250000000000004,1.5,2.0,9.0,4.0,1.5,0.0,0.0,0.0,0.0,2.0,150.0,9.0
16,15723989.0,1.0,22.250000000000004,9.0,2.0,6.0,4.0,0.085,0.0,0.0,0.0,0.0,2.0,0.0,1.0
17,15698271.0,1.0,28.92,0.375,2.0,8.0,4.0,0.29,0.0,0.0,0.0,0.0,2.0,220.0,141.0
18,15704509.0,1.0,24.58,13.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,184.0,1.0
19,15699340.0,1.0,23.17,0.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,184.0,1.0
20,15608688.0,1.0,15.17,7.0,2.0,9.999999999999998,4.0,1.0,0.0,0.0,0.0,0.0,2.0,600.0,1.0
21,15650313.0,1.0,37.49999999999999,0.835,2.0,9.999999999999998,4.0,0.04,0.0,0.0,0.0,0.0,2.0,120.0,6.0
22,15798895.0,1.0,34.08,2.5,2.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,460.0,17.0
23,15732884.0,1.0,17.92,0.205,2.0,6.0,4.0,0.04,0.0,0.0,0.0,0.0,2.0,280.0,751.0
24,15565996.0,1.0,26.250000000000004,1.54,2.0,9.0,4.0,0.125,0.0,0.0,0.0,0.0,2.0,100.0,1.0
25,15644400.0,1.0,34.58,0.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,184.0,1.0
26,15684440.0,1.0,33.67,2.165,2.0,8.0,4.0,1.5,0.0,0.0,0.0,0.0,3.0,120.0,1.0
27,15730287.0,1.0,36.17,5.5,2.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,210.0,688.0
28,15720353.0,1.0,19.5,0.29,2.0,4.0,4.0,0.29,0.0,0.0,0.0,0.0,2.0,280.0,365.0
29,15706637.0,1.0,20.0,7.0,2.0,8.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,1.0
30,15728906.0,1.0,29.250000000000004,13.0,2.0,2.0,8.0,0.5,0.0,0.0,0.0,0.0,2.0,228.0,1.0
31,15736510.0,1.0,41.49999999999999,1.54,2.0,3.0,5.0,3.5,0.0,0.0,0.0,0.0,2.0,216.0,1.0
32,15730673.0,1.0,33.67,1.25,2.0,9.0,4.0,1.165,0.0,0.0,0.0,0.0,2.0,120.0,1.0
33,15581871.0,1.0,16.5,0.125,2.0,8.0,4.0,0.165,0.0,0.0,0.0,0.0,2.0,132.0,1.0
34,15623668.0,1.0,51.83,3.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,0.0,2.0,180.0,5.0
35,15708236.0,1.0,18.58,5.71,2.0,2.0,4.0,0.54,0.0,0.0,0.0,0.0,2.0,120.0,1.0
36,15686670.0,1.0,26.83,0.54,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,1.0
37,15617065.0,1.0,22.17,2.25,2.0,3.0,4.0,0.125,0.0,0.0,0.0,0.0,2.0,160.0,11.0
38,15813363.0,1.0,31.0,2.085,2.0,8.0,4.0,0.085,0.0,0.0,0.0,0.0,2.0,300.0,1.0
39,15736420.0,1.0,22.08,2.335,2.0,4.0,4.0,0.75,0.0,0.0,0.0,0.0,2.0,180.0,1.0
40,15726167.0,1.0,36.17,18.125,2.0,9.0,4.0,0.085,0.0,0.0,0.0,0.0,2.0,320.0,3553.0000000000005
41,15624850.0,1.0,50.75,0.585,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,145.0,1.0
42,15765093.0,1.0,31.57,0.625,2.0,4.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,380.0,2011.0000000000002
43,15779492.0,1.0,18.83,0.0,2.0,11.0,4.0,0.665,0.0,0.0,0.0,0.0,2.0,160.0,2.0
44,15742297.0,1.0,25.250000000000004,1.0,2.0,6.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,200.0,1.0
45,15688059.0,1.0,32.419999999999995,2.165,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0
